dataset,method,n_samples,acc_mean,acc_std,spa_mean,spa_std,ace_mean,ace_std,mse_mean,mse_std
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,proposed,100,0.5862681704260652,0.07732142359475938,0.6527063950591676,0.03079978708251509,0.7744337430389376,0.07806063890862415,0.06436081022024151,0.007709381751026697
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,full_information,100,0.7417919799498748,0.058500144193758714,0.7005380669589765,0.028938411139515945,0.6508478508766039,0.07046347851946873,0.050924825295805894,0.007184949497210547
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,popularity,100,0.5665802005012531,0.06653450010860625,0.6456084205300233,0.029880888344344873,0.7836318243234092,0.07452731242523222,0.06483415754721794,0.007506318308113988
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,simple_markov,100,0.4691929824561403,0.08362109837521516,0.609985003348318,0.03387303347124536,1.1307060995373979,0.4924753750909862,0.0723080502181379,0.0075910318588640405
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,random,100,0.46381328320802007,0.08449151110752454,0.6064720032554933,0.03160310197082135,0.8843045961988081,0.08000600431618335,0.07196763900491966,0.00724904912069083
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,bayesian_network,100,0.5369436090225563,0.06827408786376044,0.6310543640944128,0.036809098274005345,1.0930579910426625,0.1606877639304961,0.08672422365109007,0.013566646168298635
