dataset,baseline,n_trials,acc_wins,acc_win_rate,spa_wins,spa_win_rate,ace_wins,ace_win_rate,mse_wins,mse_win_rate
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,full_information,100,2,0.02,0,0.0,0,0.0,0,0.0
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,popularity,100,63,0.63,76,0.76,64,0.64,63,0.63
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,simple_markov,100,89,0.89,100,1.0,98,0.98,96,0.96
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,random,100,87,0.87,100,1.0,99,0.99,97,0.97
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,bayesian_network,100,70,0.7,86,0.86,99,0.99,98,0.98
