dataset,baseline,n_trials,acc_wins,acc_win_rate,spa_wins,spa_win_rate,ace_wins,ace_win_rate,mse_wins,mse_win_rate
k10_L1_0.1,full_information,100,36,0.36,31,0.31,28,0.28,32,0.32
k10_L1_0.1,popularity,100,84,0.84,100,1.0,100,1.0,100,1.0
k10_L1_0.1,simple_markov,100,31,0.31,54,0.54,84,0.84,98,0.98
k10_L1_0.1,random,100,40,0.4,28,0.28,22,0.22,28,0.28
k5_L1_0.1,full_information,100,36,0.36,45,0.45,42,0.42,51,0.51
k5_L1_0.1,popularity,100,45,0.45,52,0.52,53,0.53,66,0.66
k5_L1_0.1,simple_markov,100,32,0.32,25,0.25,80,0.8,60,0.6
k5_L1_0.1,random,100,43,0.43,46,0.46,49,0.49,46,0.46
