dataset,method,n_samples,acc_mean,acc_std,spa_mean,spa_std,ace_mean,ace_std,mse_mean,mse_std
k10_L1_0.1,proposed,100,0.6446666666666667,0.09630541901615189,0.688017427057725,0.04890054833791148,0.46755171156482156,0.09850766790237347,0.074375273771584,0.01345741297463548
k10_L1_0.1,full_information,100,0.6774047619047617,0.09616774801850173,0.6882399864840213,0.04892975406046338,0.46712089227990616,0.0984035091046006,0.07429148059338327,0.013467596218255653
k10_L1_0.1,popularity,100,0.5555238095238095,0.09062472301951732,0.6540469192188815,0.053546487577573756,0.5454014400200046,0.11304361708117373,0.09362589307767659,0.016245733046997998
k10_L1_0.1,simple_markov,100,0.676392857142857,0.08587597900935233,0.6830279336734694,0.05931227736014704,1.695951127656192,1.2213182039211101,0.09657015306122445,0.02104699321006972
k10_L1_0.1,random,100,0.6709404761904761,0.08909914690964793,0.6882307985098799,0.048931684260026406,0.467152309936143,0.09846432691135222,0.07429217687074825,0.013475816106099608
k5_L1_0.1,proposed,100,0.7282575757575758,0.09142831394533042,0.7767987386287386,0.043583363566887905,0.41118128728643305,0.08214147189744524,0.07384990654885765,0.015434335061341132
k5_L1_0.1,full_information,100,0.749242424242424,0.09183224275380553,0.7768795319648855,0.0435403554101693,0.4109693468735973,0.08208803802554944,0.07381548224017019,0.015422914346544673
k5_L1_0.1,popularity,100,0.7292424242424245,0.08127034333272912,0.7756746489581928,0.04489703826729789,0.41456553654945255,0.08556461351108316,0.07613685886255073,0.01701928222938624
k5_L1_0.1,simple_markov,100,0.7634090909090909,0.08018769402711261,0.7979506020939846,0.04972342990324387,1.396808230092476,1.0505238081439605,0.07928306520763341,0.02190183627878234
k5_L1_0.1,random,100,0.7247727272727273,0.07465570738693957,0.7768111111111111,0.04358974988490582,0.4111470783158737,0.08212969809817916,0.0738393939393939,0.015429260541702365
