dataset,metric,baseline,statistic,p_value,significant,alpha
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,acc,full_information,131.0,0.9999999999999999,False,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,spa,full_information,23.0,1.0,False,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,ace,full_information,3.0,1.0,False,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,mse,full_information,1.0,1.0,False,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,acc,popularity,959.0,0.9981174610797873,False,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,spa,popularity,4233.0,2.1443023987155002e-09,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,ace,popularity,3329.0,0.002851264060935042,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,mse,popularity,2563.0,0.4480235843006064,False,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,acc,simple_markov,4764.5,6.685483917946196e-16,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,spa,simple_markov,3323.0,0.0030367815067275173,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,ace,simple_markov,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,mse,simple_markov,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,acc,random,5048.0,2.0680555433335054e-18,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,spa,random,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,ace,random,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,mse,random,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,acc,bayesian_network,3931.5,4.7281334935094727e-08,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,spa,bayesian_network,3604.0,0.00010364906600977432,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,ace,bayesian_network,5012.0,6.09531325108971e-18,True,0.05
s47_s49_s58_s70_s74_s79_s277_s278_s279_s280_L1_0.001,mse,bayesian_network,5043.0,2.4068509115736995e-18,True,0.05
