dataset,baseline,n_trials,acc_wins,acc_win_rate,spa_wins,spa_win_rate,ace_wins,ace_win_rate,mse_wins,mse_win_rate
s58_s74_s277_s279_s280_L1_0.001,full_information,100,3,0.03,32,0.32,21,0.21,24,0.24
s58_s74_s277_s279_s280_L1_0.001,popularity,100,93,0.93,100,1.0,91,0.91,100,1.0
s58_s74_s277_s279_s280_L1_0.001,simple_markov,100,86,0.86,54,0.54,78,0.78,95,0.95
s58_s74_s277_s279_s280_L1_0.001,random,100,97,0.97,100,1.0,99,0.99,100,1.0
s58_s74_s277_s279_s280_L1_0.001,bayesian_network,100,90,0.9,99,0.99,84,0.84,100,1.0
