dataset,baseline,n_trials,acc_wins,acc_win_rate,spa_wins,spa_win_rate,ace_wins,ace_win_rate,mse_wins,mse_win_rate
s47_s49_s277_s279_s280_L1_0.001,full_information,100,11,0.11,39,0.39,40,0.4,35,0.35
s47_s49_s277_s279_s280_L1_0.001,popularity,100,0,0.0,8,0.08,4,0.04,2,0.02
s47_s49_s277_s279_s280_L1_0.001,simple_markov,100,4,0.04,0,0.0,7,0.07,1,0.01
s47_s49_s277_s279_s280_L1_0.001,random,100,83,0.83,92,0.92,80,0.8,84,0.84
s47_s49_s277_s279_s280_L1_0.001,bayesian_network,100,2,0.02,20,0.2,12,0.12,12,0.12
