dataset,method,n_samples,acc_mean,acc_std,spa_mean,spa_std,ace_mean,ace_std,mse_mean,mse_std
s47_s49_s277_s279_s280_L1_0.001,proposed,100,0.9750877192982457,0.0261742308753094,0.9608046912684035,0.016121383924142304,0.062221046735728425,0.030667934947250727,0.008057911489158817,0.004316999132634073
s47_s49_s277_s279_s280_L1_0.001,full_information,100,0.9782456140350877,0.019494595021993983,0.961605189698612,0.01481899733438483,0.05996477564958831,0.02793938131805957,0.007565942133078301,0.003930470324999143
s47_s49_s277_s279_s280_L1_0.001,popularity,100,1.0,0.0,0.9722677104768374,0.008626623517029402,0.0340646849249169,0.011099751581152808,0.003334183295002198,0.001217774276951146
s47_s49_s277_s279_s280_L1_0.001,simple_markov,100,0.9985964912280701,0.0032320434138374717,0.9929088406248117,0.0036606613640341045,0.020944783576398746,0.051323198951867946,0.0009821216741064786,0.0018130653459057866
s47_s49_s277_s279_s280_L1_0.001,random,100,0.9448245614035088,0.025560518595394408,0.9472904483430798,0.01599110348377175,0.0744753325861212,0.022468165337035904,0.01104093567251458,0.003310481875078661
s47_s49_s277_s279_s280_L1_0.001,bayesian_network,100,0.9991228070175439,0.0026448363559453034,0.9698919310634361,0.009594033633102328,0.03725347221430282,0.012239082059080288,0.004148774602245398,0.0016171758770443395
