dataset,metric,baseline,statistic,p_value,significant,alpha
s47_s49_s277_s279_s280_L1_0.001,acc,full_information,100.0,0.8072013148902832,False,0.05
s47_s49_s277_s279_s280_L1_0.001,spa,full_information,2072.0,0.940331343386732,False,0.05
s47_s49_s277_s279_s280_L1_0.001,ace,full_information,2026.0,0.9568937239020591,False,0.05
s47_s49_s277_s279_s280_L1_0.001,mse,full_information,1795.0,0.9939630510529661,False,0.05
s47_s49_s277_s279_s280_L1_0.001,acc,popularity,0.0,0.9999999999999961,False,0.05
s47_s49_s277_s279_s280_L1_0.001,spa,popularity,111.0,1.0,False,0.05
s47_s49_s277_s279_s280_L1_0.001,ace,popularity,30.0,1.0,False,0.05
s47_s49_s277_s279_s280_L1_0.001,mse,popularity,7.0,1.0,False,0.05
s47_s49_s277_s279_s280_L1_0.001,acc,simple_markov,30.0,0.9999999999999951,False,0.05
s47_s49_s277_s279_s280_L1_0.001,spa,simple_markov,0.0,1.0,False,0.05
s47_s49_s277_s279_s280_L1_0.001,ace,simple_markov,593.0,0.9999999999846156,False,0.05
s47_s49_s277_s279_s280_L1_0.001,mse,simple_markov,23.0,1.0,False,0.05
s47_s49_s277_s279_s280_L1_0.001,acc,random,4240.0,1.563764939970342e-13,True,0.05
s47_s49_s277_s279_s280_L1_0.001,spa,random,4968.0,2.2356731707279523e-17,True,0.05
s47_s49_s277_s279_s280_L1_0.001,ace,random,4067.0,5.730277861981142e-08,True,0.05
s47_s49_s277_s279_s280_L1_0.001,mse,random,4569.0,1.0480551229305473e-12,True,0.05
s47_s49_s277_s279_s280_L1_0.001,acc,bayesian_network,9.0,0.9999999999999962,False,0.05
s47_s49_s277_s279_s280_L1_0.001,spa,bayesian_network,526.0,0.9999999999968614,False,0.05
s47_s49_s277_s279_s280_L1_0.001,ace,bayesian_network,153.0,0.9999999999999998,False,0.05
s47_s49_s277_s279_s280_L1_0.001,mse,bayesian_network,137.0,0.9999999999999999,False,0.05
