dataset,method,n_samples,acc_mean,acc_std,spa_mean,spa_std,ace_mean,ace_std,mse_mean,mse_std
k5_L1_0.01,proposed,100,0.7196969696969697,0.0911828853240923,0.775554051837235,0.04430009018546297,0.41311824388654533,0.08311726236788727,0.07534706393256779,0.0163494597109031
k5_L1_0.01,full_information,100,0.8262878787878789,0.06853592195588674,0.7819239362602433,0.043317177145486246,0.39825253974521857,0.08139943173760168,0.07088808130472894,0.015383397289591932
k5_L1_0.01,popularity,100,0.7281060606060608,0.08215203994215475,0.7756746489581928,0.04489703826729789,0.41456553654945255,0.08556461351108316,0.07613685886255073,0.01701928222938624
k5_L1_0.01,simple_markov,100,0.7679545454545454,0.08104200960130362,0.7979506020939846,0.04972342990324387,1.396808230092476,1.0505238081439605,0.07928306520763341,0.02190183627878234
k5_L1_0.01,random,100,0.735909090909091,0.0796957709276816,0.7768111111111111,0.04358974988490582,0.4111470783158737,0.08212969809817916,0.0738393939393939,0.015429260541702365
k10_L1_0.01,proposed,100,0.5751666666666667,0.09077442871125133,0.6708855782678591,0.051278408891289845,0.5065696734706099,0.10742480951101224,0.08377683628350492,0.015036843469987534
k10_L1_0.01,full_information,100,0.7768571428571428,0.08370721459913354,0.6878079097951653,0.04897255966120388,0.46852338366621593,0.09837148227856513,0.07477416444569822,0.013493724759352106
k10_L1_0.01,popularity,100,0.5555119047619048,0.08868180484515109,0.6540469192188815,0.053546487577573756,0.5454014400200046,0.11304361708117373,0.09362589307767659,0.016245733046997998
k10_L1_0.01,simple_markov,100,0.6749166666666666,0.07717175907824313,0.6830279336734694,0.05931227736014704,1.695951127656192,1.2213182039211101,0.09657015306122445,0.02104699321006972
k10_L1_0.01,random,100,0.6719523809523809,0.085534610730606,0.6882307985098799,0.048931684260026406,0.467152309936143,0.09846432691135222,0.07429217687074825,0.013475816106099608
