dataset,baseline,n_trials,acc_wins,acc_win_rate,spa_wins,spa_win_rate,ace_wins,ace_win_rate,mse_wins,mse_win_rate
k5_L1_0.01,full_information,100,5,0.05,4,0.04,5,0.05,1,0.01
k5_L1_0.01,popularity,100,20,0.2,48,0.48,52,0.52,58,0.58
k5_L1_0.01,simple_markov,100,27,0.27,24,0.24,79,0.79,56,0.56
k5_L1_0.01,random,100,41,0.41,40,0.4,40,0.4,34,0.34
k10_L1_0.01,full_information,100,0,0.0,0,0.0,0,0.0,0,0.0
k10_L1_0.01,popularity,100,54,0.54,100,1.0,100,1.0,100,1.0
k10_L1_0.01,simple_markov,100,7,0.07,38,0.38,69,0.69,76,0.76
k10_L1_0.01,random,100,10,0.1,0,0.0,0,0.0,0,0.0
