dataset,metric,baseline,statistic,p_value,significant,alpha
k5_L1_0.01,acc,full_information,64.0,0.9999999999999999,False,0.05
k5_L1_0.01,spa,full_information,19.0,1.0,False,0.05
k5_L1_0.01,ace,full_information,45.0,1.0,False,0.05
k5_L1_0.01,mse,full_information,4.0,1.0,False,0.05
k5_L1_0.01,acc,popularity,683.5,0.9090657776109852,False,0.05
k5_L1_0.01,spa,popularity,2350.0,0.7263153544595913,False,0.05
k5_L1_0.01,ace,popularity,2814.0,0.16019034459397757,False,0.05
k5_L1_0.01,mse,popularity,3251.0,0.006276168311157132,True,0.05
k5_L1_0.01,acc,simple_markov,987.0,0.9999992071650882,False,0.05
k5_L1_0.01,spa,simple_markov,733.0,0.9999999996396548,False,0.05
k5_L1_0.01,ace,simple_markov,4727.0,1.8490848397010215e-14,True,0.05
k5_L1_0.01,mse,simple_markov,3110.0,0.022140554520922937,True,0.05
k5_L1_0.01,acc,random,1762.0,0.9477339630497486,False,0.05
k5_L1_0.01,spa,random,1749.0,0.9961863774650399,False,0.05
k5_L1_0.01,ace,random,1994.0,0.9660560731100573,False,0.05
k5_L1_0.01,mse,random,1211.0,0.9999968780691908,False,0.05
k10_L1_0.01,acc,full_information,0.0,1.0,False,0.05
k10_L1_0.01,spa,full_information,0.0,1.0,False,0.05
k10_L1_0.01,ace,full_information,0.0,1.0,False,0.05
k10_L1_0.01,mse,full_information,0.0,1.0,False,0.05
k10_L1_0.01,acc,popularity,2047.5,6.298633505984547e-05,True,0.05
k10_L1_0.01,spa,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_0.01,ace,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_0.01,mse,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_0.01,acc,simple_markov,106.5,0.9999999999999999,False,0.05
k10_L1_0.01,spa,simple_markov,1587.0,0.9993704637401702,False,0.05
k10_L1_0.01,ace,simple_markov,4364.0,1.2820074319231275e-10,True,0.05
k10_L1_0.01,mse,simple_markov,4456.0,1.5747566566320923e-11,True,0.05
k10_L1_0.01,acc,random,178.5,0.9999999999999991,False,0.05
k10_L1_0.01,spa,random,0.0,1.0,False,0.05
k10_L1_0.01,ace,random,0.0,1.0,False,0.05
k10_L1_0.01,mse,random,0.0,1.0,False,0.05
