dataset,baseline,n_trials,acc_wins,acc_win_rate,spa_wins,spa_win_rate,ace_wins,ace_win_rate,mse_wins,mse_win_rate
s47_s49_s50_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,full_information,100,1,0.01,0,0.0,0,0.0,0,0.0
s47_s49_s50_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,popularity,100,49,0.49,75,0.75,52,0.52,51,0.51
s47_s49_s50_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,simple_markov,100,60,0.6,85,0.85,60,0.6,53,0.53
s47_s49_s50_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,random,100,77,0.77,88,0.88,59,0.59,51,0.51
s47_s49_s50_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,bayesian_network,100,19,0.19,32,0.32,44,0.44,34,0.34
