dataset,metric,baseline,statistic,p_value,significant,alpha
k5_L1_1.0,acc,full_information,1939.5,0.6680902707391584,False,0.05
k5_L1_1.0,spa,full_information,2664.0,0.31635102717936164,False,0.05
k5_L1_1.0,ace,full_information,2459.0,0.5897606951947685,False,0.05
k5_L1_1.0,mse,full_information,2822.0,0.1535839960242532,False,0.05
k5_L1_1.0,acc,popularity,2273.5,0.23741815691073176,False,0.05
k5_L1_1.0,spa,popularity,2923.0,0.08558511705636351,False,0.05
k5_L1_1.0,ace,popularity,2978.0,0.05966865661326805,False,0.05
k5_L1_1.0,mse,popularity,3842.0,2.9733744677158767e-06,True,0.05
k5_L1_1.0,acc,simple_markov,1484.0,0.9995765931520836,False,0.05
k5_L1_1.0,spa,simple_markov,844.0,0.9999999962610607,False,0.05
k5_L1_1.0,ace,simple_markov,4729.0,1.753693442891679e-14,True,0.05
k5_L1_1.0,mse,simple_markov,3357.0,0.002113625717521217,True,0.05
k5_L1_1.0,acc,random,2132.0,0.4386472133784066,False,0.05
k5_L1_1.0,spa,random,2700.0,0.2736846455404088,False,0.05
k5_L1_1.0,ace,random,2627.0,0.3629032861598864,False,0.05
k5_L1_1.0,mse,random,2790.0,0.18110656984828694,False,0.05
k10_L1_1.0,acc,full_information,2468.0,0.30445290373629535,False,0.05
k10_L1_1.0,spa,full_information,2869.0,0.11844743193345031,False,0.05
k10_L1_1.0,ace,full_information,2856.0,0.1275423862515025,False,0.05
k10_L1_1.0,mse,full_information,2951.0,0.07149779186504397,False,0.05
k10_L1_1.0,acc,popularity,4879.5,2.3752131868580292e-17,True,0.05
k10_L1_1.0,spa,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_1.0,ace,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_1.0,mse,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_1.0,acc,simple_markov,2271.0,0.6478948507707899,False,0.05
k10_L1_1.0,spa,simple_markov,2937.0,0.07830144100866801,False,0.05
k10_L1_1.0,ace,simple_markov,4706.0,3.215657908488482e-14,True,0.05
k10_L1_1.0,mse,simple_markov,5025.0,4.1338992922577564e-18,True,0.05
k10_L1_1.0,acc,random,2417.0,0.44206260836277644,False,0.05
k10_L1_1.0,spa,random,2754.0,0.21553078203990494,False,0.05
k10_L1_1.0,ace,random,2690.0,0.28524717321727444,False,0.05
k10_L1_1.0,mse,random,2681.0,0.29584843304375974,False,0.05
