dataset,metric,baseline,statistic,p_value,significant,alpha
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,acc,full_information,902.5,0.9992658903130518,False,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,spa,full_information,1724.0,0.9970572946817854,False,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,ace,full_information,1246.0,0.9999945277175106,False,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,mse,full_information,866.0,0.9999999941548069,False,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,acc,popularity,3178.0,7.130522591085142e-05,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,spa,popularity,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,ace,popularity,5044.0,2.335341653948903e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,mse,popularity,5047.0,2.133161365359117e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,acc,simple_markov,4641.5,1.9830880557842902e-14,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,spa,simple_markov,4608.0,3.974532152123675e-13,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,ace,simple_markov,5043.0,2.4068509115736995e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,mse,simple_markov,5023.0,4.388940359489964e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,acc,random,5048.0,2.0645637660556523e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,spa,random,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,ace,random,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,mse,random,5050.0,1.948279922547955e-18,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,acc,bayesian_network,2848.0,0.02868729136716756,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,spa,bayesian_network,4863.0,4.535996727362746e-16,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,ace,bayesian_network,4370.0,1.1214891812711502e-10,True,0.05
s47_s49_s58_s67_s70_s74_s277_s278_s279_s280_L1_0.001,mse,bayesian_network,4924.0,8.016980364141518e-17,True,0.05
